Name,Owner,Category,District,Province,Location
2. Chitate ,Govt. ,RHC ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
3. Jekwa ,Govt. ,RHC ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
4. Kadenge ,Govt. ,RHC ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
5. Madamombe ,Govt. ,RHC ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
6. Murewa Prison ,Govt. ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
7. Munamba ,Govt. ,RHC ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
8. Dandara ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
9. Chitowa I ,RDC ,clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
10. Chitowa II ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
11. Craiglea ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
12. Macheke ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
13. Dombwe  ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
14. Kadzere ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
15. Nyamutumbu ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
16. Shambamuto ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
17. Virginia ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
18. Matututu ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
19. Waterloo ,RDC ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
20. St. Paul‰Ûªs ,Mission ,Rural Hosp. ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
21. Nohoreka ,Pvt. ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
22. Nhowe ,Mission ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
23. Goso ,Govt. ,Clinic ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
24. Ngwerume ,Govt. ,RHC ,Murewa District ,MASHONALAND EAST PROVINCE ,Africa
1. Mutoko ,Govt. ,District Hosp. ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
2. Makosa ,Govt. ,Rural Hosp. ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
3. Nyamuzuwe ,Govt. ,Rural Hosp. ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
4. Kapondoro ,Govt. ,RHC ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
5. Katsukunya ,Govt. ,RHC ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
6. Mushimbo ,Govt. ,RHC ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
7. Nyadire Resettlement ,Govt. ,RHC ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
8. Nyamuzizi ,Govt. ,RHC ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
9. Kushinga ,Govt. ,RHC ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
10. Hoyuyu I ,Govt ,RHC ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
11. Hoyuyu II  ,Govt. ,RHC ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
12. Charehwa ,RDC ,Clinic ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
13. Kawere ,RDC ,Clinic ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
14. Matedza ,RDC ,Clinic ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
15. Kowo ,RDC ,Clinic ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
16. Kawaza ,RDC ,Clinic ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
17. Nzira ,RDC ,Clinic ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
18. Mother of Peace ,Pvt. ,Home ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
19.Mutemwa  Leprosy ,Pvt. ,Home ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
20. Nyadire ,Mission ,Rural hosp. ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
21. Luisa Guidotti ,Mission ,Rural Hosp. ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
22. Chindenga ,Mission ,Clinic ,Mutoko District ,MASHONALAND EAST PROVINCE ,Africa
1. Mutawatawa ,Govt. ,District Hosp. ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
2. Kafura ,Govt. ,RHC ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
3. Sowa ,Govt. ,RHC ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
4. Marembera ,Govt. ,RHC ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
5. Karimbika ,Govt. ,RHC ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
6. Borera ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
7. Chikuhwa ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
8. Chipfunde ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
9. Chitsungo ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
10. Manyika ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
11. Maramba ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
12. Mashambanhaka ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
13. Muskwe ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
14. Nhakiwa ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
15. Nyakasoro ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
16. Nyanzou ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
17. Dindi ,Mission ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
18. Dewe ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
19. Chitimbe ,RDC ,Clinic ,UMP District ,MASHONALAND EAST PROVINCE ,Africa
1.Marondera Provincial ,Govt. ,,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
2. Chihota ,Govt. ,Rural hosp. ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
3. Border Church ,Govt. ,RHC ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
4. Chimbwanda ,Govt. ,RHC ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
5. Wenimbi ,Govt. ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
6. Prison ,Govt. ,clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
7. Kushinga Phikelela ,Govt. ,clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
8. ZRP ,Govt. ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
9. Dombotombo ,Municipality ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
10. Nyameni ,Municipality ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
11. Masikana ,RDC ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
12. Igava ,RDC ,clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
13. Mudzimurema ,RDC ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
14. Marondera Mobile ,RDC ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
15. Mutukwa ,RDC ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
16. Nyembanzvere ,RDC ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
17. Lustleigh ,RDC ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
18. Waddilove ,Mission ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
19. Borrodaile ,Pvt. ,Hosp. ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
20. St Thomas Prison ,Govt. ,Clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
21. MRDC ,RDC ,clinic ,Marondera District ,MASHONALAND EAST PROVINCE ,Africa
1. Beatrice ,Govt. ,Rural Hosp. ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
2. Acton Reynods ,Govt. ,RHC ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
3. Masasa ,Govt. ,RHC ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
4. Ringa ,Govt. ,RHC ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
5. Kunaka ,RDC ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
6. Zhakata ,RDC ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
7. Charakupa ,RDC ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
8. Epworth  ,RDC ,Polyclinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
9. Jonasi ,RDC ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
10. Lanark ,RDC ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
11. Makanyazingwa ,RDC ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
12. Marirangwe ,RDC ,clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
13. Muda ,RDC ,clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
14. Epworth ,Mission ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
15. Derbshire ,Pvt. ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
16. Port Health ,Govt. ,Clinic ,Seke District ,MASHONALAND EAST PROVINCE ,Africa
1. Bindura ,Govt. ,Provincial Hosp. ,Bindura District ,MASHONALAND CENTRAL ,Africa
2. Chiveso ,Govt. ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
3. Muonwe ,Govt. ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
4. Zimbabwe Prison ,Govt. ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
5. ZRP ,Govt. ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
6. Manhanga ,RDC ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
7. Chiriseri ,RDC ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
8. Nyava ,RDC ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
9. Rusununguko ,RDC ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
10. Chipadze ,Municipality ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
11. Chiwariro ,Municipality ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
12. Farm Health Scheme ,RDC ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
13. Ashanti Goldfields ,Mine ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
14. Trojan ,Mine ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
15. Bindura ,Municipality ,Polyclinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
16. Foothills ,RDC ,clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
17. Bindura University ,Govt. ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
18. Chipindura ,Govt. ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
19. Family Planning ,Family Planning ,Clinic ,Bindura District ,MASHONALAND CENTRAL ,Africa
20. Rutope ,RDC ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
21. Manga ,Govt. ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
22. Mupandira ,RDC ,RHC ,Bindura District ,MASHONALAND CENTRAL ,Africa
1.St. Alberts ,Mission ,Designated District Hosp. ,Centenary District ,MASHONALAND CENTRAL ,Africa
2.Chawarura RHC ,Govt. ,,Centenary District ,MASHONALAND CENTRAL ,Africa
3. Hoya ,Govt. ,RHC ,Centenary District ,MASHONALAND CENTRAL ,Africa
4. Machaya ,Govt. ,RHC ,Centenary District ,MASHONALAND CENTRAL ,Africa
5. Muzarabani ,Govt. ,RHC ,Centenary District ,MASHONALAND CENTRAL ,Africa
6. Hwata ,RDC ,RHC ,Centenary District ,MASHONALAND CENTRAL ,Africa
7. David Nelson ,RDC ,Clinic ,Centenary District ,MASHONALAND CENTRAL ,Africa
8. Farm Health Scheme ,RDC ,Clinic ,Centenary District ,MASHONALAND CENTRAL ,Africa
9. Chadereka ,Govt. ,RHC ,Centenary District ,MASHONALAND CENTRAL ,Africa
10. Dambakurima ,Govt. ,RHC ,Centenary District ,MASHONALAND CENTRAL ,Africa
11. Chidakamwedzi ,RDC ,,Centenary District ,MASHONALAND CENTRAL ,Africa
12,,,Centenary District ,MASHONALAND CENTRAL ,Africa
1. Shamva ,Govt. ,District hosp. ,Shamva District ,MASHONALAND CENTRAL ,Africa
2. Madziwa ,Govt. ,Rural Hosp. ,Shamva District ,MASHONALAND CENTRAL ,Africa
3. Chishape ,Govt. ,RHC ,Shamva District ,MASHONALAND CENTRAL ,Africa
4. Goora ,Govt. ,RHC ,Shamva District ,MASHONALAND CENTRAL ,Africa
5. Mupfurudzi ,Govt. ,RHC ,Shamva District ,MASHONALAND CENTRAL ,Africa
6. Bushu ,RDC ,Clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
7. Chidembo ,RDC ,clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
8. Chihuri ,RDC ,Clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
9. Mobile ,RDC ,Clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
10. Shamva Gold Mine ,Mine ,Clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
11.Wadzanayi Clinic ,RDC ,,Shamva District ,MASHONALAND CENTRAL ,Africa
12. Cargill ,Pvt. ,Clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
13. Takawira ,RDC ,Clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
14. Nyamaruro ,RDC ,Clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
15. Nyamaropa ,RDC ,Clinic ,Shamva District ,MASHONALAND CENTRAL ,Africa
1. Guruve ,Govt. ,District Hosp. ,Guruve District ,MASHONALAND CENTRAL ,Africa
2. Chitsungo ,Mission ,Rural Hosp. ,Guruve District ,MASHONALAND CENTRAL ,Africa
3. Bvokochora ,Govt. ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
4. Nyakapupu ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
5. Mashumbi Pools ,Govt. ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
6. Bepura ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
7. Negomo ,Govt. ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
8. Nyamhondoro ,Govt. ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
9. Shinje ,Govt. ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
10. Angwa ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
11. Bakasa ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
12. Chapoto ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
13. Chipuriro  ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
14. Gonono ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
15. Kachuta ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
16. Mahuwe ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
17. Mastvitsi ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
18. Gota ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
19. Musengezi ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
20. Chikafa ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
21. Masomo ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
22. Masoka ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
23. Chirunya ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
24. Chidodo ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
25. Kemutamba ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
26. Mugarakamwe ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
27. Nyambudzi ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
28. Ruyamuro ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
29. Bickdale ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
30. Brandon ,RDC ,RHC ,Guruve District ,MASHONALAND CENTRAL ,Africa
1. Concession ,Govt. ,District Hosp. ,Mazowe District ,MASHONALAND CENTRAL ,Africa
2. Mvurwi ,Govt. ,Rural hosp. ,Mazowe District ,MASHONALAND CENTRAL ,Africa
3. Rosa ,Govt. ,Rural hosp. ,Mazowe District ,MASHONALAND CENTRAL ,Africa
4. Howard ,Mission ,Rural Hosp. ,Mazowe District ,MASHONALAND CENTRAL ,Africa
5. Mozowe ,Pvt. ,Pvt. Hosp. ,Mazowe District ,MASHONALAND CENTRAL ,Africa
6. Chinehasha ,Govt. ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
7. Nyakudya ,Govt. ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
8. Shutu ,Govt. ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
9. Bare ,RDC ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
10. Makope ,RDC ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
11. Jingamvura  ,RDC ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
12. Mukodzongi ,RDC ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
13. Christon Bank ,RDC ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
14. Begownie ,RDC ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
15. Home Eden ,RDC ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
16. Tsungubvi ,RDC ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
17. Henderson ,Pvt. ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
18. Iron Duke ,Mine ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
19. Mazowe secondary ,Mission ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
20. Stories ,Mine ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
21. North eastern Medical ,,Clinic Pvt. ,Mazowe District ,MASHONALAND CENTRAL ,Africa
Centre ,,,Mazowe District ,MASHONALAND CENTRAL ,Africa
22. Nzvimbo ,RDC ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
23. Dambo ,RDC ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
24. Hatcliffe ,Govt. ,RHC ,Mazowe District ,MASHONALAND CENTRAL ,Africa
25. Forester Estates ,Pvt. ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
26. Mvurwi FHS ,RDC ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
27. Montgomery Christian ,,Clinic Pvt. ,Mazowe District ,MASHONALAND CENTRAL ,Africa
Care ,,,Mazowe District ,MASHONALAND CENTRAL ,Africa
28. Mazowe ,Mine ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
29. Donje  ,RDC ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
30. Vonabo ,RDC ,clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
31. Danbary ,RDC ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
32. Davaer ,RDC ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
33. Mongomery ,RDC ,Clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
34. Shopo ,RDC ,clinic ,Mazowe District ,MASHONALAND CENTRAL ,Africa
1. Mt. Darwin ,Govt. ,District Hosp. ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
2.Karanda Rural ,Mission ,,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
3. Dotito ,Govt. ,RHc ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
4. Kamutsenzere ,Govt. ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
5. Mukumbura ,Govt. ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
6. Nyamahobgo ,Govt. ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
7. Pfunyanguo ,Govt. ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
8. Tsakare ,Govt. ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
9. Chawanda ,RDC ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
10. Kaitano ,RDC ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
11. Nembire ,RDC ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
12. Pachanza ,RDC ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
13. Mutungagore ,Govt. ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
14. Bveka ,RDC ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
15. Mutasa ,Govt. ,RHC ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
16. ZRP ,Govt. ,Clinic ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
17. Matope ,RDC ,Clinic ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
18. Bandimba ,RDC ,Clinic ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
19. Chimbu ,RDC ,Clinic ,Mt. Darwin District ,MASHONALAND CENTRAL ,Africa
1. Chimhanda ,Govt. ,District hosp. ,Rushinga District ,MASHONALAND CENTRAL ,Africa
2. Mary Mt. ,Mission ,Rural Hosp. ,Rushinga District ,MASHONALAND CENTRAL ,Africa
3. Mukosa ,Govt. ,RHC ,Rushinga District ,MASHONALAND CENTRAL ,Africa
4. Mukonde ,Govt. ,RHC ,Rushinga District ,MASHONALAND CENTRAL ,Africa
5. Nhawa ,Govt. ,RHC ,Rushinga District ,MASHONALAND CENTRAL ,Africa
6. Rushinga ,Govt. ,RHC ,Rushinga District ,MASHONALAND CENTRAL ,Africa
7. Mazowe Camp ,Govt. ,Clinic ,Rushinga District ,MASHONALAND CENTRAL ,Africa
8. Nyamatikiti ,Govt. ,Clinic ,Rushinga District ,MASHONALAND CENTRAL ,Africa
9. Bungwe ,RDC ,RHC ,Rushinga District ,MASHONALAND CENTRAL ,Africa
10. rusambo ,RDC ,RHC ,Rushinga District ,MASHONALAND CENTRAL ,Africa
11.Chimhanda RHC ,RDC ,,Rushinga District ,MASHONALAND CENTRAL ,Africa
1. Murambinda ,Mission ,Designated Dist. Hosp. ,Buhera District ,MANICALAND PROVINCE ,Africa
2. Buhera ,Govt. ,Rural Hosp. ,Buhera District ,MANICALAND PROVINCE ,Africa
3. Birchenough Bridge ,Govt. ,Rural hosp. ,Buhera District ,MANICALAND PROVINCE ,Africa
4. Betera ,Govt. ,RHC ,Buhera District ,MANICALAND PROVINCE ,Africa
5. Madzimbashuro ,Govt. ,RHC ,Buhera District ,MANICALAND PROVINCE ,Africa
6. Mombeyarara ,Govt. ,RHC ,Buhera District ,MANICALAND PROVINCE ,Africa
7. Murwira ,Govt. ,RHC ,Buhera District ,MANICALAND PROVINCE ,Africa
8. Zagama ,Govt. ,RHc ,Buhera District ,MANICALAND PROVINCE ,Africa
9. Nyashanu ,RDC ,clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
10. Chapwanya ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
11. Chiweshe ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
12. Gombe ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
13. Nerutanga ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
14. Rambanapasi ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
15. Bangure ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
16. Chabata ,RDC ,clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
17. Chirozva ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
18. Mutiusinazita ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
19. Muzokomba ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
20. Chapanduka ,RDC ,clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
21. Dorowa ,Mine ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
22. Dandaware ,Pvt. ,clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
23. Mutepfe  ,RDC ,clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
24. Munyanyi ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
25. Garamwera ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
26. Chiwenga ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
27. Mudanda ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
28. Gunura ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
29. Mudavose ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
30. Chimbudzi ,RDC ,Clinic ,Buhera District ,MANICALAND PROVINCE ,Africa
31. Bere ,RDC ,RHC ,Buhera District ,MANICALAND PROVINCE ,Africa
1. Chimanimani ,Govt. ,Rural Hosp. ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
2. Birwiri ,Govt. ,Rural Hosp. ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
3. Nyanyadzi ,Govt. ,Rural Hosp. ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
4. Mutambara ,Mission ,Designated Dist. Hosp. ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
5. Rusitu ,Mission ,Rural hosp. ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
6. Changazi ,Govt. ,RHC ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
7. Chikukwa ,Govt. ,RHC ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
8. Muchadziya ,Govt. ,RHC ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
9. Bumba ,Govt. ,RHC ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
10. Chayamiti ,Govt. ,RHC ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
11. Chakohwa ,RDC ,RHC ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
12. Chikwakwa ,RDC ,RHC ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
13. Gudyanga ,RDC ,Clinic ,Chimanimani District. ,MANICALAND PROVINCE ,Africa
